101723199	3.225	6225	nan
102575808	3.325	7250	nan
102576929	4.05	8925	8.353
102580193	4.15	7525	5.316
102584233	3.725	6400	2.142
102587554	3.7	7375	6.865
102589546	3.7	7250	10.896
102591062	3.65	7600	4.057
102596121	4	7700	5.06
102598868	3.9	7750	8.104
102599598	4	7600	9.757
102600012	4.4	8000	5.793
102603176	4.3	12800	47.884
102607188	4.2	8100	10.846
102618519	4.5	7500	4.343
102620865	3.975	11250	24.539
102622725	4.3	6000	2.253
102623864	4	7900	9.272
102624107	4.05	8400	4.93
102634888	4	7175	8.548
102636829	3.2	7225	9.552
102637079	3.85	7325	6.83
102639464	3.9	9450	nan
102639650	3.9	7500	3.34
102641760	4.3	7950	7.707
102642516	3.7	7275	9.367
102647323	4.3	8200	5.699
102649349	3.95	9425	nan
102650434	3.875	8500	13.188
102651129	3.75	8350	nan
102655408	4	7375	3.609
102656251	4.2	7950	nan
102657423	3.425	8150	25.613
102661211	3.575	7075	10.629
102669422	3.675	7300	5.911
102670461	3.575	7325	20.479
102671284	3.65	8550	22.747
102673795	3.75	8050	23.997
102675756	3.175	7350	8.999
102677987	3.95	7700	13.089
102678628	3.225	7100	30.623
102686153	3.525	7125	12.603
102687709	4.4	7950	5.882
102688156	4.4	7725	8.445
102688713	4.15	7300	4394.0
102690176	3.525	7425	17.317
102691322	4.05	7650	nan
102691789	3.75	7800	10.103
102694610	3.7	8000	11.283
102702314	2.975	7000	16.841
102702932	3.35	6975	25.443
102703251	3.8	9100	20.071
102704304	3.25	7050	nan
102706800	3.325	7125	7.451
102710813	4.15	8350	6.339
102712421	3.95	7400	5.28
102721716	4.15	7700	6.561
102723128	3.9	6975	nan
102724195	3.9	7550	4.928
102728240	4.2	7450	5.164
102733521	3.625	7125	8.932
102742700	3.875	7550	5.803
102743992	4.3	7950	4.004
102745499	3.85	7900	15.005
102753236	4.1	7600	9.122
102761878	3.7	7375	9.898
102773976	4.4	7525	10.496
102775243	4.25	7950	nan
102775698	3.75	9550	14.512
102785246	3.8	7425	6.286
102786753	3.425	7100	9.439
102787451	4	7300	6.22
102788412	3.925	8000	8.616
102790482	3.475	7225	nan
102794872	4.15	7575	7.369
